Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
yraK,0.95,0.68,0.77,0.86,0.73,0.69,0.69,0.62,0.91,15.07
yraM,0.83,0.54,0.61,0.63,0.6,0.6,0.61,0.43,0.43,0
yraN,0.87,0.58,0.55,0.53,0.67,0.66,0.67,0.51,0.47,5.99
yraO,0.95,0.64,0.45,0.81,0.66,0.66,0.73,0.44,0.51,0
yraP,0.92,0.61,0.69,0.85,0.68,0.63,0.66,0.53,0.59,8.03
yraQ,0.93,0.61,0.63,0.67,0.71,0.66,0.64,0.36,0.51,14.6
yraR,0.9,0.51,0.61,0.49,0.63,0.62,0.62,0.36,0.57,7.86
yrbA,0.97,0.59,0.74,0.89,0.67,0.69,0.67,0.52,0.81,0
yrbC,0.92,0.59,0.86,1.02,0.73,0.62,0.63,0.88,0.99,0
yrbD,0.9,0.49,0.69,1.06,0.71,0.6,0.56,0.5,0.56,0
yrbE,0.93,0.52,0.84,1.03,0.71,0.6,0.6,0.68,0.84,0
yrbF,0.91,0.49,0.73,1.01,0.71,0.68,0.6,0.63,0.37,0
yrbG,0.93,0.59,0.63,0.83,0.7,0.6,0.68,0.4,0.48,11.98
yrbL,0.98,0.64,0.71,0.71,0.72,0.62,0.61,0.61,0.82,12.06
yrdA,0.94,0.51,0.58,0.46,0.64,0.64,0.61,0.13,0.37,7.83
yrdB,0.95,0.68,0.79,0.94,0.73,0.65,0.65,0.69,0.85,5.08
yrdD,0.98,0.64,0.71,0.87,0.68,0.75,0.59,0.75,0.82,9.24
yrfA,0.93,0.51,0.68,0.65,0.65,0.65,0.58,0.54,0.63,0
yrfB,0.95,0.68,0.78,0.88,0.73,0.64,0.67,0.61,0.9,0
yrfC,0.99,0.63,0.78,1,0.71,0.67,0.64,0.34,0.81,0
yrfD,0.97,0.54,0.68,0.96,0.61,0.65,0.62,0.92,0.9,0
yrfG,0.95,0.54,0.69,0.93,0.61,0.63,0.54,0.5,0.49,11.14
yrhA,0.96,0.52,0.79,0.82,0.71,0.65,0.66,0.12,0.48,5.88
yrhB,0.87,0.62,0.42,0.49,0.56,0.62,0.64,0.42,0.41,4.43
yrhC,0.94,0.53,0.61,0.62,0.68,0.59,0.59,0.3,0.38,0
ysaB,0.92,0.63,0.59,0.73,0.61,0.65,0.65,0.37,0.5,4.32
ysdC,0.86,0.59,0.67,0.58,0.68,0.71,0.64,0.52,0.38,0
ysgA,0.94,0.53,0.68,0.73,0.66,0.67,0.62,0.49,0.64,11.62
ytfA,0.96,0.64,0.78,0.86,0.72,0.71,0.67,0.81,0.87,5.19
ytfB,0.9,0.6,0.78,0.82,0.69,0.71,0.65,0.62,0.48,8.44
ytfE,0.89,0.63,0.72,0.83,0.69,0.66,0.66,0.6,0.66,10.45
ytfF,0.93,0.6,0.64,0.67,0.65,0.69,0.66,0.38,0.58,14.65
ytfG,0.85,0.58,0.68,0.83,0.66,0.63,0.65,0.51,0.71,0
ytfH,0.99,0.61,0.68,0.78,0.72,0.73,0.63,0.57,0.49,6.17
ytfI,0.96,0.62,0.72,0.81,0.71,0.7,0.67,0.78,0.78,16.09
ytfJ,0.88,0.63,0.68,0.78,0.68,0.64,0.64,0.73,0.76,8.97
ytfK,0.99,0.65,0.76,0.82,0.75,0.71,0.63,0.78,0.8,3.31
ytfL,0.86,0.62,0.56,0.59,0.6,0.59,0.61,0.42,0.5,17.11
