Common gene name,No_drug,CHL_1ug/mL,CPR_4ng/mL,MEC_38ng/mL,NIT_2ug/mL,TET_150ng/mL,TMP_80ng/mL,FOX_1.90ug/mL,AMP_3.14ug/mL,PrtoSTOP
smtA,0.94,0.55,0.76,0.43,0.71,0.63,0.65,0.61,0.28,0
sodA,0.91,0.63,0.56,0.64,0.68,0.63,0.64,0.41,0.4,9.91
sodB,0.95,0.75,0.76,0.94,0.67,0.72,0.67,0.5,0.48,9.32
sodC,0.93,0.53,0.49,0.72,0.67,0.6,0.63,0.27,0.25,6.62
sohA,0.89,0.52,0.61,0.64,0.63,0.51,0.64,0.41,0.47,0
sohB,0.87,0.52,0.56,0.3,0.64,0.61,0.55,0.43,0.53,16.89
solA,0.85,0.58,0.45,0.65,0.7,0.6,0.61,0.32,0.33,16.14
soxR,0.87,0.57,0.42,0.44,0.55,0.63,0.65,0.41,0.39,7.71
soxS,0.94,0.56,0.14,0.2,0.42,0.57,0.67,0.35,0.1,5.29
speA,0.85,0.46,0.51,0.08,0.6,0.47,0.62,0.23,0.4,31.17
speB,0.86,0.55,0.59,0.35,0.58,0.54,0.56,0.53,0.69,11.3
speC,0.94,0.55,0.61,0.56,0.66,0.65,0.63,0.31,0.59,31.64
speD,0.94,0.56,0.68,0.63,0.71,0.65,0.66,0.47,0.57,12.71
speE,0.96,0.44,0.63,0.79,0.72,0.71,0.64,0.69,0.66,12.46
speF,0.92,0.54,0.81,0.62,0.68,0.65,0.66,0.38,0.56,34
speG,0.92,0.59,0.57,0.64,0.71,0.63,0.66,0.37,0.34,9.76
sppA,0.86,0.51,0.69,0.58,0.63,0.57,0.63,0.38,0.39,27.14
spr,0.98,0.73,0.87,0.75,0.74,0.81,0.11,0,0.23,0
sprT,0.87,0.56,0.66,0.7,0.67,0.62,0.63,0.51,0.6,8.87
spy,0.84,0.51,0.49,0.73,0.66,0.61,0.58,0.32,0.37,6.57
sra,0.93,0.55,0.63,0.64,0.7,0.63,0.6,0.41,0.47,1.87
srlA,0.92,0.57,0.66,0.62,0.67,0.67,0.67,0.62,0.65,8.26
srlB,0.95,0.48,0.56,0.45,0.65,0.59,0.65,0.44,0.52,4.93
srlD,0.97,0.65,0.79,0.92,0.72,0.7,0.65,0.84,0.9,11.98
srlE,0.92,0.6,0.75,0.81,0.71,0.67,0.64,0.83,0.81,12.35
srlR,0.89,0.51,0.64,0.78,0.65,0.62,0.64,0.54,0.61,10.52
srmB,0.8,0.62,0.51,0.71,0.54,0.54,0.61,0.53,0.31,19.99
sseA,1,0.63,0.76,0.87,0.72,0.72,0.67,0.76,0.85,11.05
sseB,0.93,0.65,0.77,0.76,0.7,0.71,0.62,0.67,0.77,11.77
ssnA,0.92,0.45,0.4,0.34,0.65,0.6,0.64,0.22,0.4,18.01
sspA,0.87,0.68,0.75,0.85,0.65,0.63,0.6,0.36,0.13,10.09
sspB,0.99,0.58,0.77,0.63,0.73,0.66,0.64,0.54,0.54,5.86
sstT,0.96,0.62,0.63,0.83,0.73,0.64,0.64,0.4,0.38,14.59
ssuA,0.98,0.57,0.66,0.6,0.7,0.65,0.63,0.27,0.55,14.61
ssuB,0.96,0.53,0.64,0.48,0.66,0.6,0.66,0.28,0.35,10.73
ssuC,0.9,0.54,0.73,0.79,0.68,0.69,0.61,0.45,0.54,11.82
ssuD,0.91,0.57,0.32,0.34,0.55,0.59,0.34,0.32,0.42,16.34
ssuE,0.98,0.56,0.64,0.66,0.71,0.68,0.65,0.33,0.45,8.69
stfE,0.93,0.53,0.6,0.61,0.67,0.61,0.58,0.2,0.26,7.53
stfQ,0.93,0.73,0.81,0.89,0.73,0.74,0.68,0.77,0.89,13.27
stfR,0.72,0.52,0.6,0.34,0.47,0.58,0.6,0.27,0.28,46.87
sthA,0.96,0.56,0.52,0.52,0.65,0.68,0.64,0.25,0.43,20.58
stpA,0.91,0.62,0.6,0.68,0.65,0.4,0.64,0.55,0.54,6.99
sucA,0.88,0.51,0.65,0.67,0.66,0.61,0.66,0.11,0,44.16
sucB,0.88,0.45,0.6,0.69,0.66,0.59,0.66,0,0.83,16.21
sucC,0.92,0.57,0.75,0.83,0.64,0.69,0.67,0.8,0.77,15.97
sucD,0.79,0.54,0.72,0.85,0.71,0.56,0.67,0.07,0.35,11.53
sufA,0.89,0.57,0.42,0.67,0.61,0.62,0.49,0.15,0.2,4.65
sufB,0.98,0.57,0.67,0.6,0.72,0.65,0.63,0.4,0.48,24.51
sufC,0.84,0.7,0.01,0.04,0.39,0.71,0.66,0.62,0.69,11.55
sufD,0.99,0.56,0.72,0.91,0.71,0.71,0.61,0.46,0.57,17.55
sufE,0.91,0.52,0.79,1.02,0.71,0.63,0.66,0.27,0.65,6.65
sufI,0.89,0.5,0.4,0.57,0.44,0.56,0.66,0.57,0.05,0
sufS,0.88,0.55,0.62,0.77,0.59,0.66,0.64,0.94,0.84,17.57
sugE,0.92,0.55,0.68,0.81,0.68,0.67,0.63,0.69,0.74,0
sulA,0.9,0.55,0.75,0.55,0.63,0.58,0.61,0.17,0.53,8.87
surA,0.91,0.27,0.74,0.68,0.61,0.6,0.54,0.97,0.14,17.53
surE,0.94,0.59,0.67,0.55,0.66,0.68,0.6,0.41,0.46,9.1
syd,0.94,0.57,0.66,0.65,0.65,0.58,0.59,0.31,0.45,9.43
tag,0.88,0.62,0.6,0.58,0.66,0.73,0.62,0.59,0.67,9.55
talA,0.85,0.57,0.57,0.67,0.61,0.63,0.62,0.47,0.42,15.64
talB,0.86,0.58,0.74,0.72,0.67,0.7,0.65,0.72,0.73,15.78
tam,0.97,0.66,0.79,0.82,0.72,0.69,0.67,0.74,0.83,12.65
tap,0.97,0.62,0.54,0.63,0.7,0.62,0.69,0.39,0.49,22.04
tar,0.86,0.54,0.63,0.6,0.64,0.56,0.63,0.32,0.35,23.54
tas,0.95,0.61,0.71,0.6,0.71,0.69,0.57,0.48,0.8,17.05
tatA,0.77,0.65,0.26,0.4,0.5,0.7,0.68,0.75,0.41,4.08
tatB,0.95,0.73,0.62,0.59,0.44,0.8,0.54,0.65,0.03,7.55
tatC,0.87,0.55,0.55,0.4,0.45,0.65,0.68,0.38,0.18,10.68
tatD,1.01,0.71,0.78,0.91,0.73,0.78,0.59,0.55,0.46,11.34
tatE,0.94,0.64,0.73,0.76,0.68,0.75,0.63,0.47,0.63,2.69
tauA,0.92,0.53,0.62,0.46,0.65,0.63,0.63,0.25,0.38,14.1
tauB,0.91,0.52,0.55,0.46,0.62,0.55,0.69,0.24,0.29,12.14
tauC,0.85,0.56,0.53,0.62,0.65,0.59,0.64,0.14,0.43,11.38
tauD,0.89,0.57,0.66,0.75,0.67,0.63,0.6,0.6,0.65,12.82
tbpA,0.83,0.52,0.46,0.35,0.67,0.62,0.62,0.15,0.23,0
tdcA,0.89,0.61,0.7,0.66,0.72,0.64,0.71,0.53,0.64,14.76
tdcB,0.93,0.56,0.64,0.45,0.59,0.62,0.65,0.51,0.47,12.66
tdcC,1.01,0.6,0.72,0.9,0.81,0.71,0.76,0.59,0.56,19.04
tdcD,0.99,0.6,0.7,0.74,0.72,0.72,0.66,0.36,0.65,15.59
tdcE,0.94,0.59,0.75,0.82,0.68,0.7,0.57,0.53,0.53,34.67
tdcG,0.93,0.51,0.61,0.6,0.71,0.63,0.7,0.39,0.39,17.09
tdcR,0.99,0.64,0.7,0.78,0.71,0.7,0.59,0.38,0.56,5.15
tdh,0.85,0.52,0.29,0.27,0.56,0.58,0.63,0.07,0.29,12.89
tdk,0.96,0.51,0.18,0.07,0.62,0.64,0.6,0.12,0.52,11.36
tehA,0.92,0.51,0.56,0.58,0.66,0.6,0.65,0.46,0.6,14.2
tehB,0.93,0.48,0.53,0.33,0.66,0.59,0.62,0.22,0.34,9.17
tesA,0.87,0.53,0.66,0.64,0.7,0.58,0.6,0.34,0.38,9.44
tesB,0.95,0.55,0.61,0.63,0.67,0.66,0.62,0.31,0.42,12.47
tfaD,0.97,0.55,0.7,0.63,0.68,0.63,0.6,0.19,0.47,9.46
tfaE,0.94,0.55,0.66,0.48,0.67,0.63,0.6,0.29,0.35,10.1
tfaQ,0.86,0.59,0.74,0.85,0.66,0.6,0.57,0.55,0.69,8.92
tfaR,0.9,0.53,0.54,0.71,0.7,0.61,0.59,0.24,0.37,8.92
tfaS,0.97,0.66,0.73,0.93,0.73,0.74,0.68,0.96,0.89,5.37
tgt,0.9,0.51,0.67,0.74,0.66,0.62,0.63,0.44,0.54,16.53
thiC,0.87,0.6,0.49,0.53,0.6,0.68,0.58,0.37,0.37,28.99
thiD,0.95,0.62,0.76,0.87,0.71,0.7,0.67,0.9,0.92,11.11
thiE,0.96,0.68,0.58,0.83,0.71,0.72,0.65,0.58,0.47,8.48
thiF,0.79,0.6,0.43,0.37,0.64,0.7,0.64,0.47,0.29,10.77
thiG,0.93,0.65,0.75,0.85,0.63,0.73,0.64,0,0.78,9.23
thiH,0.87,0.6,0.61,0.62,0.59,0.7,0.61,0.49,0.43,19.16
thiI,0.92,0.57,0.56,0.57,0.66,0.67,0.66,0.48,0.39,21.49
thiM,0.98,0.71,0.68,0.75,0.66,0.72,0.69,0.47,0.42,9.59
thiP,0.88,0.6,0.69,0.83,0.74,0.68,0.67,0.72,0.59,24.06
thiQ,0.85,0.54,0.64,0.74,0.64,0.62,0.65,0.56,0.67,9.62
thiS,0.92,0.64,0.69,0.74,0.68,0.74,0.61,0.79,0.77,2.91
thrA,1.05,0.7,0.68,0.76,0.72,0.74,0.59,0.64,0.49,33.64
thrB,0.9,0.58,0.75,0.94,0.78,0.68,0.65,0.48,0.73,13.38
thrC,0.89,0.51,0.48,0.48,0.62,0.61,0.62,0.37,0.34,18.22
thrL,1,0.66,0.81,0.89,0.71,0.72,0.63,0.81,0.9,0.78
thyA,0,0,0,0,0,0,0,0,0,12.76
tiaE,0.86,0.64,0.63,0.5,0.69,0.72,0.62,0.56,0.49,0
tig,0.93,0.5,0.53,0.4,0.67,0.58,0.55,0.03,0.04,19.92
tktA,0.56,0.2,0.45,0.46,0.45,0.52,0.46,0.49,0.44,29.75
tktB,0.98,0.69,0.55,0.75,0.71,0.73,0.65,0.63,0.8,30.37
tldD,0.91,0.52,0.65,0.67,0.71,0.6,0.61,0.39,0.45,21.22
tnaA,0.97,0.62,0.65,0.77,0.69,0.71,0.61,0.6,0.61,22.83
tnaB,0.94,0.51,0.52,0.59,0.65,0.63,0.57,0,0.43,16.54
tnaC,0.93,0.54,0.64,0.67,0.7,0.66,0.65,0.31,0.29,0.77
tolA,1,0.66,0.61,0.69,0.71,0.7,0.57,0.45,0.5,20.31
tolB,0.97,0.62,0.74,0.01,0.69,0.77,0.59,0,0,18.14
tolC,0.95,0,0.68,0.15,0.71,0.28,0.39,0.1,0.11,23.44
tolQ,0.92,0.56,0.77,0.01,0.65,0.76,0.55,0.38,0.03,9.36
tolR,0.97,0.68,0.84,0.9,0.69,0.72,0.6,0,0,5.23
tonB,0.73,0.45,0.39,0.72,0.57,0.58,0.45,0.44,0.43,9.71
topB,0.89,0.49,0.32,0.55,0.62,0.56,0.62,0.28,0.42,30
torA,0.94,0.52,0.55,0.54,0.68,0.59,0.68,0.34,0.29,39.74
torC,0.92,0.66,0.7,0.71,0.67,0.79,0.71,0.51,0.56,18.87
torD,1,0.68,0.69,0.61,0.73,0.75,0.62,0.43,0.6,10.4
torI,0.95,0.57,0.72,0.51,0.69,0.66,0.63,0.03,0.75,3.05
torR,0.85,0.62,0.09,0.34,0.41,0.57,0.32,0.39,0.35,10.08
torS,0.94,0.5,0.63,0.58,0.69,0.58,0.61,0.15,0.39,41.66
torT,0.93,0.56,0.6,0.54,0.7,0.62,0.65,0.27,0.43,16.05
torY,0.9,0.44,0.6,0.26,0.65,0.54,0.63,0.24,0.25,18.37
torZ,0.91,0.5,0.7,0.74,0.63,0.65,0.62,0.43,0.57,38.94
tpiA,0.95,0.64,0.6,0.75,0.71,0.66,0.65,0.61,0.74,10.35
tpr,0.9,0.51,0.39,0.7,0.62,0.61,0.63,0.23,0,1.32
tpx,0.84,0.53,0.68,0.76,0.67,0.62,0.63,0.37,0.55,6.02
treA,0.78,0.57,0.58,0.59,0.63,0.67,0.66,0.48,0.38,28.98
treB,0.91,0.57,0.64,0.56,0.68,0.64,0.68,0.45,0.48,19.3
treC,1,0.59,0.7,0.5,0.71,0.68,0.62,0,0.58,28.53
treF,1.01,0.64,0.75,0.93,0.74,0.74,0.64,0.85,0.92,28.78
treR,0.88,0.58,0.6,0.56,0.68,0.66,0.69,0.38,0.53,14.04
trg,0.97,0.57,0.61,0.67,0.68,0.6,0.58,0.26,0.52,22.3
trkA,0.87,0.5,0.68,0.76,0.58,0.64,0.7,0.35,0.71,16.15
trkD,0.98,0.63,0.66,0.62,0.69,0.71,0.6,0.46,0.47,0
trkG,0.9,0.55,0.67,0.72,0.68,0.65,0.65,0.87,0.87,20.56
trkH,0.98,0.62,0.62,0.62,0.7,0.67,0.55,0.5,0.45,18.8
trmA,0.97,0.66,0.75,0.95,0.69,0.77,0.6,0.89,0.95,17.03
trmC,0.98,0.65,0.83,0.88,0.72,0.72,0.67,0.83,0.86,0
trmE,0.84,0.41,0.7,0.63,0.46,0.54,0.51,0.72,0.76,0
trmH,1,0.55,0.45,0.7,0.66,0.65,0.66,0.39,0.38,9.92
trmU,0.6,0.4,0.49,0.61,0.37,0.44,0.55,0.07,0.01,0
trpA,0.73,0.57,0.62,0.35,0.38,0.58,0.61,0.27,0.22,10.32
trpB,0.77,0.62,0.62,0.73,0.5,0.6,0.55,0.68,0.81,17.37
trpC,0.85,0.53,0.58,0.5,0.59,0.65,0.6,0,0.19,19.78
trpD,0.92,0.58,0.66,0.58,0.71,0.58,0.66,0.33,0.41,21.09
trpE,0.96,0.57,0.61,0.55,0.69,0.62,0.66,0.14,0.27,22.13
trpL,0.93,0.5,0.65,0.51,0.7,0.62,0.64,0.16,0.4,0.91
trpR,0.87,0.57,0.66,0.69,0.67,0.65,0.67,0.64,0.72,5.6
truA,0.82,0.4,0.49,0.34,0.65,0.51,0.59,0,0.41,11.94
truB,0.91,0.52,0.5,0.46,0.59,0.61,0.65,0.3,0.5,14.72
truD,0.85,0.62,0.73,0.82,0.68,0.64,0.61,0.66,0.8,16.29
trxA,0.87,0.56,0.67,0.81,0.58,0.7,0.61,0.62,0.84,4.71
trxB,0.76,0.45,0.69,0.75,0.59,0.65,0.69,0.28,0.59,13.31
trxC,0.97,0.68,0.76,0.88,0.73,0.68,0.69,0.72,0.8,5.3
tsgA,0.86,0.63,0.35,0.43,0.59,0.59,0.65,0.38,0.25,15.97
tsr,0.96,0.55,0.6,0.51,0.69,0.66,0.61,0.46,0.42,23.19
tsx,0.91,0.61,0.7,0.91,0.64,0.65,0.72,0.83,0.77,15.53
ttdA,0.96,0.56,0.66,0.76,0.7,0.64,0.61,0.51,0.48,11.93
ttdB,0.98,0.61,0.68,0.75,0.71,0.66,0.63,0.49,0.49,9.28
ttk,1.02,0.68,0.65,0.75,0.6,0.74,0.64,0.66,0.79,0
tufA,0.7,0.49,0.36,0.71,0.48,0.44,0.53,0.14,0.27,16.46
tufB,0.92,0.6,0.59,0.72,0.67,0.58,0.68,0.43,0.78,16.49
tus,0.85,0.57,0.51,0.64,0.63,0.61,0.65,0.28,0.38,14.8
tynA,0.94,0.66,0.77,0.74,0.72,0.71,0.67,0.81,0.85,33.12
tyrA,0.89,0.59,0.62,0.73,0.69,0.62,0.63,0.37,0.42,16.79
tyrB,0.94,0.65,0.7,0.86,0.73,0.69,0.62,0.52,0.41,17.45
tyrP,0.93,0.53,0.59,0.61,0.67,0.64,0.62,0.38,0.35,15.71
tyrR,0.94,0.61,0.61,0.41,0.67,0.59,0.67,0.43,0.51,22.76
ubiC,0.94,0.51,0.69,0.7,0.67,0.65,0.6,0.35,0.4,9.03
ubiE,0.52,0.04,0.5,0.3,0.36,0.42,0.43,0.3,0,10.67
ubiF,0.32,0.24,0.36,0.32,0.35,0.37,0.31,0.26,0,16.89
ubiG,0.55,0.23,0.42,0.18,0.35,0.4,0.37,0,0,10.77
ubiH,0.33,0.05,0.32,0.17,0.25,0.4,0.26,0,0.26,16.16
ubiX,0.5,0.43,0.6,0.83,0.33,0.52,0.55,0.38,0.46,7.19
ucpA,0.9,0.5,0.63,0.47,0.65,0.62,0.66,0,0.65,9.88
udk,0.98,0.63,0.71,0.82,0.73,0.7,0.58,0.82,0.78,9.87
udp,0.9,0.58,0.52,0.41,0.68,0.7,0.59,0.52,0.44,10.3
ugd,0.78,0.52,0.22,0.09,0.4,0.6,0.7,0.31,0,16.73
ugpA,0.95,0.62,0.76,0.75,0.71,0.72,0.68,0.68,0.65,12.8
ugpB,0.89,0.62,0.59,0.52,0.58,0.67,0.63,0.14,0.4,22.63
ugpC,0.94,0.63,0.76,0.82,0.65,0.73,0.61,0.56,0.62,15.92
ugpE,0.95,0.53,0.61,0.5,0.68,0.67,0.67,0.32,0.33,10.2
ugpQ,0.91,0.53,0.62,0.8,0.6,0.68,0.64,0.44,0.43,11.45
uhpA,0.91,0.66,0.57,0.8,0.68,0.7,0.66,0.6,0.51,7.64
uhpB,0.81,0.64,0.71,0.73,0.59,0.67,0.64,0.4,0.49,25.15
uhpC,0.95,0.57,0.65,0.65,0.69,0.68,0.6,0,0.54,19.55
uhpT,0.91,0.58,0.59,0.54,0.67,0.7,0.66,0.47,0.44,21.42
uidA,0.92,0.53,0.72,0.51,0.7,0.59,0.68,0.33,0.36,29.88
uidB,0.96,0.57,0.67,0.51,0.72,0.63,0.69,0.44,0.44,19.96
uidC,0.95,0.55,0.61,0.71,0.69,0.64,0.64,0,0.36,21.9
uidR,0.91,0.57,0.58,0.59,0.7,0.63,0.67,0.4,0.45,7.67
ulaA,0.94,0.51,0.6,0.46,0.7,0.63,0.65,0.41,0.29,18.78
ulaB,0.78,0.61,0.38,0.37,0.49,0.63,0.63,0.39,0.22,3.97
ulaC,0.9,0.57,0.51,0.69,0.66,0.63,0.63,0.38,0.58,6.21
ulaD,0.85,0.59,0.33,0.31,0.43,0.63,0.62,0.42,0.3,9.39
ulaE,0.96,0.65,0.78,0.87,0.66,0.71,0.59,0.73,0.79,13.5
ulaF,0.97,0.68,0.71,0.9,0.72,0.7,0.66,0.86,0.9,10.42
ulaG,0.97,0.62,0.72,0.76,0.65,0.69,0.68,0.42,0.65,16.26
ulaR,0.87,0.46,0.3,0.63,0.62,0.62,0.66,0.36,0.24,11.65
umuC,0.89,0.44,0.36,0.43,0.64,0.53,0.62,0.19,0.15,20.03
umuD,0.8,0.47,0.3,0.61,0.65,0.57,0.57,0.29,0.28,4.74
ung,0.95,0.48,0.64,0.31,0.67,0.61,0.6,0.16,0.33,10.53
upp,0.83,0.61,0.67,0.75,0.57,0.76,0.49,0.41,0.76,9.04
uraA,0.92,0.53,0.61,0.45,0.64,0.62,0.66,0.29,0.42,15.03
usg,0.8,0.57,0.62,0.77,0.69,0.6,0.61,0.2,0.33,14.18
ushA,0.98,0.53,0.68,0.53,0.68,0.69,0.6,0.6,0.68,25.76
uspA,0.94,0.61,0.47,0.63,0.69,0.71,0.65,0.45,0.56,6.49
uspE,0.7,0.45,0.62,0.9,0.41,0.55,0.62,0.29,0.45,14
uspF,0.93,0.46,0.59,0.28,0.66,0.56,0.65,0.18,0.36,5.81
uspG,0.88,0.62,0.69,0.93,0.67,0.69,0.67,0.69,0.72,4.85
uup,0.9,0.36,0.4,0.24,0.58,0.56,0.63,0.36,0.18,31.68
uvrA,0.94,0.69,0.67,1.03,0,0.71,0.62,0.45,0.46,41.39
uvrB,0.96,0.55,0.58,0.55,0.01,0.62,0.65,0.43,0.42,31.09
uvrC,0.95,0.55,0.73,0.83,0,0.64,0.62,0.22,0.52,29.26
uvrD,0.94,0.59,0.53,0.63,0.01,0.62,0.63,0.33,0.46,35.57
uvrY,0.88,0.64,0.52,0.87,0.71,0.67,0.68,0.82,0.82,9.55
uxaA,1.02,0.65,0.77,0.86,0.71,0.71,0.61,0.62,0.72,20.34
uxaB,1,0.73,0.83,0.87,0.72,0.75,0.68,0.75,0.81,22.49
uxaC,0.83,0.57,0.64,0.69,0.7,0.64,0.64,0.56,0.45,21.7
uxuA,0.95,0.64,0.76,0.78,0.71,0.7,0.64,0.62,0.62,17.43
uxuB,0.92,0.61,0.7,0.71,0.71,0.71,0.67,0.6,0.7,21.46
uxuR,0.87,0.65,0.6,0.7,0.65,0.66,0.68,0.64,0.67,12.28
vacJ,0.99,0.5,0.69,0.95,0.71,0.63,0.57,0.64,0.22,0
visC,0.89,0.6,0.58,0.72,0.71,0.66,0.61,0.26,0.29,0
vsr,0.93,0.53,0.54,0.47,0.68,0.62,0.66,0.57,0.48,7.64
wbbH,0.95,0.58,0.62,0.85,0.69,0.63,0.53,0.34,0.5,0
wbbI,0.95,0.44,0.47,0.47,0.66,0.59,0.64,0.26,0.45,15.1
wbbJ,0.93,0.64,0.75,0.8,0.73,0.71,0.66,0.94,0.94,7.17
wbbK,0.97,0.49,0.67,0.48,0.69,0.6,0.69,0.43,0.7,18.8
wbbL,0.85,0.585,0.755,0.89,0.69,0.67,0.615,0.615,0.865,12.33
wcaA,0.86,0.61,0.62,0.83,0.68,0.63,0.64,0.87,0.84,15.54
wcaB,0.89,0.6,0.62,0.61,0.72,0.61,0.63,0.43,0.5,5.82
wcaC,0.99,0.57,0.61,0.41,0.7,0.67,0.63,0.4,0.46,18.26
wcaD,0.9,0.68,0.73,0.88,0.69,0.68,0.64,0.65,0.8,18.42
wcaE,0.9,0.69,0.49,0.89,0.62,0.69,0.68,0.65,0.74,11.91
wcaF,0.95,0.62,0.71,0.41,0.71,0.65,0.67,0.42,0.63,8.48
wcaI,0.87,0.62,0.74,0.87,0.64,0.64,0.63,0.67,0.76,18.49
wcaJ,0.87,0.6,0.79,0.88,0.7,0.65,0.66,0.71,0.81,20.93
wcaK,0.9,0.45,0.33,0.6,0.67,0.53,0.63,0.08,0.31,17.77
wcaL,0.91,0.53,0.66,0.58,0.7,0.59,0.68,0.29,0.37,17.31
wrbA,0.94,0.6,0.6,0.74,0.71,0.63,0.64,0.4,0.41,9.45
wza,0.86,0.59,0.74,0.84,0.68,0.64,0.64,0.84,0.84,16.16
wzb,0.98,0.55,0.69,0.62,0.65,0.65,0.64,0.34,0.45,7.21
wzc,0.89,0.64,0.76,0.88,0.69,0.62,0.64,0.75,0.8,32.84
wzxC,0.94,0.59,0.7,0.8,0.7,0.69,0.63,0.66,0.66,19.13
wzxE,0.94,0.67,0.76,0.7,0.72,0.73,0.72,0.9,0.8,18.78
wzzE,0.8,0.59,0.41,0.08,0.55,0.61,0.65,0.21,0.11,15.75
xapA,0.97,0.55,0.74,0.53,0.71,0.67,0.67,0.43,0.56,11.26
xapB,0.93,0.55,0.65,0.49,0.72,0.6,0.64,0.43,0.52,16.23
xapR,0.88,0.61,0.73,0.74,0.69,0.66,0.66,0.58,0.7,12.57
xdhA,0.89,0.53,0.59,0.6,0.66,0.64,0.64,0,0.6,31.65
xdhB,0.87,0.64,0.79,0.92,0.65,0.68,0.67,0.66,0.88,10.83
xdhC,0.92,0.53,0.7,0.59,0.68,0.62,0.64,0.56,0.65,8.03
xdhD,0.93,0.63,0.76,0.76,0.71,0.65,0.65,0.59,0.81,38.1
xerC,0.86,0.43,0.44,0.61,0.48,0.56,0.56,0.4,0.43,13.24
xerD,0.71,0.43,0.42,0.34,0.41,0.51,0.51,0.1,0,14.96
xseA,0.96,0.52,0.21,0.55,0.69,0.62,0.66,0.51,0.77,21.02
xseB,0.97,0.52,0.19,0.59,0.67,0.61,0.68,0.3,0.47,4.03
xthA,0.94,0.52,0.63,0.43,0.67,0.63,0.67,0.42,0,12.38
xylA,0.9,0.53,0.43,0.61,0.62,0.61,0.62,0.35,0.36,21.66
xylB,0.94,0.59,0.72,0.8,0.66,0.65,0.63,0.61,0.7,22.01
xylE,0.91,0.59,0.67,0.75,0.65,0.65,0.64,0.87,0.81,22.02
xylF,0.79,0.58,0.43,0.34,0.64,0.65,0.63,0.4,0.29,13.52
xylG,0.95,0.62,0.61,0.6,0.67,0.72,0.62,0.52,0.55,23.05
xylH,0.91,0.45,0.55,0.46,0.65,0.59,0.65,0.24,0.38,14.79
xylR,0.95,0.64,0.73,0.81,0.69,0.69,0.61,0.71,0.84,19.81
yaaA,0.88,0.6,0.65,0.78,0.67,0.65,0.66,0.66,0.71,12.53
yaaH,0.87,0.61,0.73,0.82,0.68,0.66,0.64,0.74,0.76,0
yaaI,0.88,0.55,0.61,0.6,0.66,0.63,0.64,0.42,0.5,5.44
yaaJ,0.9,0.55,0.62,0.71,0.72,0.6,0.62,0.36,0.49,18.86
yaaU,0.92,0.59,0.54,0.72,0.72,0.57,0.64,0.25,0.49,17.54
yaaW,0.86,0.54,0.65,0.75,0.69,0.63,0.64,0.52,0.52,11.14
yaaX,0.89,0.58,0.66,0.6,0.69,0.61,0.62,0.34,0.6,4.68
yaaY,0.94,0.57,0.63,0.63,0.55,0.67,0.59,0.34,0.53,2.92
yabI,0.97,0.58,0.66,0.57,0.67,0.7,0.66,0.81,0.54,11.4
yabP,1,0.64,0.76,0.8,0.72,0.73,0.64,0.68,0.62,10.64
yacC,0.87,0.6,0.8,0.91,0.66,0.68,0.66,0.69,0.76,5.41
yacF,0.88,0.64,0.76,0.86,0.69,0.64,0.62,0.6,0.77,0
yacG,0.97,0.63,0.71,0.84,0.71,0.76,0.67,0.81,0.66,3.78
yacH,0.88,0.46,0.48,0.52,0.66,0.57,0.64,0.23,0.37,26.88
yacL,0.88,0.65,0.78,0.84,0.68,0.68,0.67,0.67,0.8,6.47
yadB,0.91,0.65,0.73,0.86,0.68,0.7,0.67,0.64,0.59,0
yadC,0.89,0.66,0.77,0.89,0.72,0.71,0.67,0.81,0.78,20.19
yadD,0.95,0.6,0.7,0.79,0.73,0.71,0.68,0.82,0.48,0
yadE,0.88,0.6,0.51,0.64,0.62,0.64,0.56,0.46,0.67,18.21
yadG,0.83,0.58,0.6,0.78,0.65,0.64,0.66,0.63,0.53,15.57
yadH,0.94,0.47,0.61,0.51,0.65,0.62,0.7,0.45,0.52,9.89
yadI,0.87,0.6,0.73,0.83,0.67,0.65,0.64,0.67,0.71,7.04
yadK,0.9,0.66,0.73,0.85,0.71,0.67,0.66,0.65,0.63,7.82
yadL,0.88,0.47,0.55,0.45,0.64,0.58,0.61,0.22,0.43,8.48
yadM,0.94,0.56,0.73,0.82,0.69,0.72,0.64,0.73,0.76,7.72
yadN,0.88,0.62,0.76,0.86,0.66,0.64,0.62,0.74,0.77,7.35
yadS,0.85,0.54,0.55,0.72,0.66,0.63,0.62,0.32,0.51,6.87
yaeB,0.84,0.58,0.66,0.79,0.67,0.62,0.58,0.69,0.54,0
yaeF,0.95,0.61,0.73,0.86,0.73,0.74,0.67,0.87,0.85,11.85
yaeH,0.94,0.72,0.77,0.9,0.69,0.72,0.59,0.42,0.69,6.99
yaeI,0.8,0.54,0.66,0.86,0.68,0.65,0.57,0.53,0.52,11.07
yaeJ,0.86,0.57,0.66,0.81,0.7,0.67,0.66,0.6,0.5,0
yaeP,0.86,0.54,0.65,0.6,0.68,0.58,0.68,0.32,0.44,3.4
yaeQ,0.96,0.61,0.55,0.76,0.69,0.63,0.64,0.34,0.58,9.63
yaeR,0.89,0.64,0.78,0.91,0.73,0.71,0.67,0.88,0.88,5.92
yafC,0.9,0.53,0.5,0.52,0.66,0.59,0.67,0.36,0.43,14.05
yafD,0.97,0.62,0.76,0.84,0.72,0.73,0.67,0.83,0.79,11.38
yafE,0.88,0.58,0.7,0.81,0.71,0.68,0.68,0.69,0.55,8.06
yafJ,0.85,0.52,0.62,0.67,0.66,0.67,0.64,0.46,0.43,12.57
